season,red,green,blue
WarmSpring,199,179,214
WarmSpring,232,188,215
WarmSpring,251,211,212
WarmSpring,252,209,190
WarmSpring,249,212,185
WarmSpring,253,218,198
WarmSpring,254,230,204
WarmSpring,252,251,221
WarmSpring,160,133,188
WarmSpring,213,149,184
WarmSpring,247,157,157
WarmSpring,246,171,152
WarmSpring,245,173,125
WarmSpring,253,201,153
WarmSpring,255,218,163
WarmSpring,252,243,178
WarmSpring,129,107,171
WarmSpring,226,130,176
WarmSpring,243,119,111
WarmSpring,246,140,116
WarmSpring,223,157,131
WarmSpring,248,166,110
WarmSpring,248,198,129
WarmSpring,253,226,145
WarmSpring,226,235,178
WarmSpring,244,239,210
WarmSpring,192,226,209
WarmSpring,174,222,222
WarmSpring,190,227,233
WarmSpring,187,229,245
WarmSpring,170,199,231
WarmSpring,174,189,222
WarmSpring,222,233,157
WarmSpring,191,224,171
WarmSpring,143,207,181
WarmSpring,121,202,193
WarmSpring,137,209,208
WarmSpring,133,209,232
WarmSpring,119,165,215
WarmSpring,107,134,189
WarmSpring,216,228,128
WarmSpring,174,211,141
WarmSpring,100,193,149
WarmSpring,95,196,187
WarmSpring,86,196,197
WarmSpring,81,197,212
WarmSpring,97,137,199
WarmSpring,89,98,173
WarmSpring,245,144,160
WarmSpring,247,162,155
WarmSpring,246,170,156
WarmSpring,235,176,142
WarmSpring,251,202,159
WarmSpring,252,222,162
WarmSpring,253,226,149
WarmSpring,251,246,162
WarmSpring,240,113,130
WarmSpring,243,119,111
WarmSpring,239,145,112
WarmSpring,246,146,112
WarmSpring,246,170,108
WarmSpring,251,196,116
WarmSpring,253,213,118
WarmSpring,248,235,141
WarmSpring,238,101,127
WarmSpring,239,76,81
WarmSpring,242,113,92
WarmSpring,244,125,85
WarmSpring,243,149,77
WarmSpring,245,189,106
WarmSpring,250,217,88
WarmSpring,248,221,142
WarmSpring,220,232,160
WarmSpring,195,223,175
WarmSpring,161,212,169
WarmSpring,137,208,210
WarmSpring,135,211,225
WarmSpring,132,164,213
WarmSpring,112,130,192
WarmSpring,209,151,189
WarmSpring,215,228,123
WarmSpring,173,214,136
WarmSpring,115,196,153
WarmSpring,88,197,200
WarmSpring,81,197,212
WarmSpring,94,135,197
WarmSpring,81,100,176
WarmSpring,210,132,184
WarmSpring,204,221,106
WarmSpring,99,189,89
WarmSpring,49,178,122
WarmSpring,21,177,189
WarmSpring,28,171,210
WarmSpring,11,116,181
WarmSpring,64,81,163
WarmSpring,201,92,159
WarmSpring,242,106,126
WarmSpring,243,118,112
WarmSpring,245,137,124
WarmSpring,245,154,99
WarmSpring,249,169,110
WarmSpring,253,194,126
WarmSpring,253,220,125
WarmSpring,246,241,137
WarmSpring,242,95,124
WarmSpring,240,76,83
WarmSpring,243,106,98
WarmSpring,241,132,103
WarmSpring,247,151,75
WarmSpring,252,184,77
WarmSpring,251,213,88
WarmSpring,249,217,118
WarmSpring,236,30,79
WarmSpring,236,32,44
WarmSpring,234,59,56
WarmSpring,230,68,47
WarmSpring,238,135,34
WarmSpring,239,173,37
WarmSpring,251,201,28
WarmSpring,241,223,123
WarmSpring,216,228,128
WarmSpring,174,212,135
WarmSpring,121,196,155
WarmSpring,88,195,201
WarmSpring,86,195,226
WarmSpring,99,137,199
WarmSpring,83,101,175
WarmSpring,208,133,166
WarmSpring,226,222,98
WarmSpring,104,190,83
WarmSpring,45,180,144
WarmSpring,13,188,183
WarmSpring,25,187,210
WarmSpring,10,117,187
WarmSpring,69,80,162
WarmSpring,204,89,146
WarmSpring,193,213,56
WarmSpring,115,191,67
WarmSpring,23,167,106
WarmSpring,20,173,170
WarmSpring,17,175,202
WarmSpring,33,102,177
WarmSpring,36,63,152
WarmSpring,190,65,131
WarmAutumn,148,121,156
WarmAutumn,186,81,96
WarmAutumn,219,98,107
WarmAutumn,220,126,101
WarmAutumn,241,180,149
WarmAutumn,246,189,172
WarmAutumn,212,187,156
WarmAutumn,254,247,221
WarmAutumn,136,97,141
WarmAutumn,163,63,63
WarmAutumn,194,78,91
WarmAutumn,193,77,96
WarmAutumn,226,142,70
WarmAutumn,237,164,145
WarmAutumn,165,124,94
WarmAutumn,240,233,155
WarmAutumn,136,100,138
WarmAutumn,208,71,81
WarmAutumn,187,81,91
WarmAutumn,186,80,92
WarmAutumn,203,119,91
WarmAutumn,225,121,96
WarmAutumn,134,90,55
WarmAutumn,162,151,105
WarmAutumn,195,208,188
WarmAutumn,190,217,174
WarmAutumn,156,139,109
WarmAutumn,182,224,223
WarmAutumn,104,171,188
WarmAutumn,118,73,104
WarmAutumn,172,198,225
WarmAutumn,172,177,217
WarmAutumn,149,185,121
WarmAutumn,183,209,162
WarmAutumn,121,90,95
WarmAutumn,102,183,187
WarmAutumn,73,149,173
WarmAutumn,156,49,95
WarmAutumn,121,152,180
WarmAutumn,114,112,152
WarmAutumn,102,129,88
WarmAutumn,135,148,118
WarmAutumn,113,110,77
WarmAutumn,95,172,178
WarmAutumn,14,135,154
WarmAutumn,81,53,102
WarmAutumn,100,115,158
WarmAutumn,115,133,183
WarmAutumn,201,32,51
WarmAutumn,206,33,39
WarmAutumn,195,51,50
WarmAutumn,216,78,39
WarmAutumn,210,123,44
WarmAutumn,229,149,38
WarmAutumn,235,189,78
WarmAutumn,243,192,49
WarmAutumn,168,29,50
WarmAutumn,171,31,34
WarmAutumn,183,39,48
WarmAutumn,186,62,38
WarmAutumn,179,100,41
WarmAutumn,234,125,68
WarmAutumn,223,176,38
WarmAutumn,214,206,37
WarmAutumn,150,25,41
WarmAutumn,146,26,28
WarmAutumn,155,31,33
WarmAutumn,141,39,27
WarmAutumn,144,84,34
WarmAutumn,163,99,38
WarmAutumn,192,151,46
WarmAutumn,192,179,49
WarmAutumn,162,189,58
WarmAutumn,97,167,69
WarmAutumn,30,165,99
WarmAutumn,29,149,173
WarmAutumn,21,157,197
WarmAutumn,84,71,150
WarmAutumn,113,39,92
WarmAutumn,196,54,112
WarmAutumn,139,161,60
WarmAutumn,80,142,69
WarmAutumn,8,137,80
WarmAutumn,16,139,155
WarmAutumn,12,135,168
WarmAutumn,79,76,131
WarmAutumn,65,33,70
WarmAutumn,152,32,78
WarmAutumn,114,135,56
WarmAutumn,68,116,54
WarmAutumn,13,111,62
WarmAutumn,17,112,134
WarmAutumn,9,115,128
